id,Tweet,presenting irrelevant data (red herring),misrepresentation of someone's position (straw man),whataboutism,causal oversimplification,"obfuscation, intentional vagueness, confusion",appeal to fear/prejudice,"black-and-white fallacy, dictatorship",name calling/labeling,loaded language,exaggeration/minimisation,flag-waving,doubt,appeal to fear/prejudice,slogans,thought-terminating cliché,bandwagon,reductio ad hitlerum,repetition,smears,glittering generalities (virtue)
1.39E+18,"RT @Alghanim999: أقتلك ثم اهنئك برمضان
هذا اُسلوب الطغيان
هذا اُسلوب الأمريكان  https://t.co/Bcij5uKtyC https://t.co/vvB7xvxcj7",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.34E+18,"RT @khalid2202222: من أقوى العبارات التي أزعجت الأمن الأمريكي في مظاهرات سود أمريكا 
( لسنا عربا تقتلوننا فنسكت)",0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
1.40E+18,"RT @Alghanim999: قامت ايرن وأمريكا لتحرر العراق من العراقيين 
وقام بهذه المهمه الحشد الشيعي بمعاونة أمريكا وإيران وظهر الحقد الصفوي الصليبي…",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
1.39E+18,"RT @Alghanim999: أمريكا المجرمه وروسيا وإيران الصفوية يقومون بعملية إبادة للسنة في سوريا
امام العالم الظالم وصمت العرب المخزي
لا امّم متحدة…",0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0
1.39E+18,"RT @Alghanim999: أمريكا والكيل بمكيالين
أمريكا عدوة السنة والمسلمين https://t.co/Bcij5uKtyC https://t.co/JaRXG8sSvk",1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
1.33E+18,"RT @Alghanim999: يحق للامريكان ان يسخروا منا!!
حاربنا الاسلام ببناء اكبر كنيسه لهم
حاربنا الاسلام بهدم قيمنا
وبنشر الخمور في بلادنا
اعتزينا…",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1.40E+18,"RT @Alghanim999: لم يأخذ الحكام العرب العبرة
من شاه ايران حليف الامريكان
جعلوا عداوته مع شعبه أولاً ثم أسقطوه
ومنعوه من العلاج عندهم ودخول…",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.37E+18,"RT @Alghanim999: لماذا يصمت العالم الظالم عن مذابح الفلوجه وعن محاولة إبادتها من الرافضه العملاء
والامريكان يريدون الانتقام من الفلوجه
لأن…",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
1.39E+18,RT @Alghanim999: عنصرية الأمريكان البيض ضد السود https://t.co/DR3xN3ufEt,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1.32E+18,"RT @Alghanim999: لقد اختارت امريكا لكثير 
من الشعوب حكامها
وساهموا في ضياع الامه العربيه والاسلاميه واستغلوا قضية فلسطين لتثبيت كراسيهم وأغ…",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1.36E+18,RT @5a1di: @hamadjjalthani كذاب يا بن جبر.. بلسانك تقول ان سبب علاقتكم مع اسرائيل هي لكي تتوسط لكم عندكم امريكا امام الضغط السعودي! منذ دخو…,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
1.40E+18,RT @alreemie: اتهمت صحيفة أمريكية قطر بالوقوف وراء قرصنة  رجال سياسية أميركيين كبار من أنصار ترمب بهدف تخريب العلاقات بين امريكا والإمارات…,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.39E+18,RT @Ahmadaljaralah: ورعان إيران العسكريين هددوا بإن صواريخهم ستصل إلي ما وراء المحيطات طبعآ يقصدون أمريكا تهديدات إيران من قيام ثوره الخمين…,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.39E+18,"RT @sabqorg: الإذاعة الأسترالية: أمريكا تشن قصفًا عسكريًّا على المنشآت النووية الإيرانية خلال أيام

https://t.co/FIgX1CzjwV https://t.co/0k…",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9.61E+17,"RT @Mohdalmulla67: نجح الأمير #محمد_بن_سلمان في زيارته لبريطانيا وامريكا
-إنشاء 6 مفاعلات نووية وتصنيع السلاح بالسعودية
-الإنتهاء من الملف…",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.27E+18,RT @MansourAlkhamis: اتهموا المملكة بدفع 450 مليار دولار لامريكا وطار الاخوانجية واعلام الحمدين يردد أمريكا حلبت السعودية رغم أن المبالغ صر…,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.39E+18,"RT @abunoo10: تخدير ارودغان مهم قبل الضربه القاضيه من الخمس الدول المتحالفه

امريكا روسيا السعوديه مصر الامارات 

بشاير خير قادمه",0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1
1.29E+18,"RT @abunoo10: #تطبيع_قطر_مع_اسرائيل

من نقل سفارة امريكا هو نظام الحمدين خاين الامه الاسلاميه والعربيه https://t.co/Xqonmns0oJ",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
1.40E+18,RT @Midad_News: #مداد_نيوز| #قطر تنشر الإرهاب والتطرف في أمريكا https://t.co/mPGLHq2q2Z,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.37E+18,RT @DrAlnefisi: يخطئ من يظن أن الدور الأمريكي في حالة تراجع في المنطقة. من وراء الأفق تحرك أمريكا التحالف الروسي الإيراني في سوريا والعراق.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.39E+18,"RT @AlArabiya: الكاتب الأميركي ديفيد ريبوي معلقا على وثائقي "" مال الدم"" : #الدوحة ضخت أموال طائلة في جيوب إعلاميين ومراكز بحوث في امريكا لل…",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1.39E+18,"RT @wwfahd1: #مؤتمر_ميونيخ 
كما قال الدبلوماسي الالماني ان قطر هي اكبر ممول للارهاب في العالم وهي تقوم بذالك نيابة عن امريكا وبريطانيا وفرن…",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.39E+18,"RT @amjadt25: مصدر
#السعودية وعبر أمريكا حذرت وأعطت مهلة ٤٨ساعة وقبل ان تنتهي المهلة فتح المحتل أبواب مسجد الأقصى
#سلمان_يفتح_ابواب_المسجد_…",0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1
9.80E+17,RT @3YnjTI5aicPKLDtt9aY1dPcQwYSW+jlwePQ0F4PnigY=: وزير خارجية #ايران: بلادي لم تكلف #قطر الصغيرة جدا التوسط لحل الخلاف مع #أمريكا https://t.co/CxijQOJBpg,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
1.38E+18,"RT @AlkamiK: عشت في أمريكا ولا أذكر هذا الكم
من الكراهية والإسلاموفوبيا
.
70% يفضلون إصابة أطفالهم
بالسرطان على دخولهم الإسلام! https://t.c…",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1.38E+18,RT @khalidalhaill: تقرير خطير من ناشيونال ريفيو: قطر تنشر التطرف في مدارس أمريكا.! https://t.co/DzKZnPVUGw,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1.37E+18,"RT @5a1di: في الوقت الذي أصدرت أمريكا عقوبات على وزيري العدل والأمن الداخلي التركي، تتواجد القوات الامركية معززة مكرمة في قاعدة انجيرلك الت…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.37E+18,RT @DiyalaAlkhair: امريكا تتفق على تزويد العبادي باسلحة متطورة بقيمة ملياري دولار  #سنة_العراق_الوحدة_أوالفناء,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.40E+18,RT @aborashd002: اخبار متداوله في هذه اللحظات عن وصول طائرات حربيه سعوديه لقواعدنا بالتنسيق مع الأمريكان ودون علم وموافقة مسؤولينا .. صباح…,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.39E+18,RT @majedalraeesi1: #قطر تريد أن تكون أمام الغرب ضحية كفلسطين وأمام العرب ثائرة كجيفارا وأمام إسرائيل الخادم المطيع تودداً لأمريكا .. وجاري…,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
